metric,value,min,max,s1,s2,s3,s4,s5,s6,s7,s8
activationRate_flank_specialist_human_random,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
activationRate_flank_specialist_human_scattered,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_flank_specialist_orc_misplaced,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
activationRate_forward_line_dwarf_fortress,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_forward_line_elf_bulwark,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_forward_line_elf_out_of_zone,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
activationRate_forward_line_elf_tiki_taka,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_forward_line_human_counter,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_forward_line_human_random,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
activationRate_forward_line_human_wall,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_forward_line_orc_giants,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_forward_line_orc_misplaced,0.0000,1.0000,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
activationRate_forward_line_orc_mob,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_forward_line_orc_violence,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_game_management_dwarf_fortress,24.8958,1.0000,,26.6667,22.2917,26.0417,26.0417,26.8750,26.4583,22.7083,22.0833
activationRate_game_management_elf_bulwark,15.5990,1.0000,,14.5833,16.4583,16.4583,13.3333,16.6667,16.4583,16.2500,14.5833
activationRate_game_management_human_counter,30.7552,1.0000,,26.0417,35.8333,30.4167,26.6667,31.0417,34.3750,32.0833,29.5833
activationRate_game_management_orc_giants,33.6458,1.0000,,33.9583,34.5833,33.7500,36.6667,32.0833,31.0417,30.0000,37.0833
activationRate_game_management_orc_mob,33.6198,1.0000,,32.0833,33.5417,34.7917,37.9167,33.3333,33.3333,31.6667,32.2917
activationRate_game_management_undead_grind,29.5052,1.0000,,31.6667,25.2083,30.8333,32.9167,26.2500,29.1667,28.7500,31.2500
activationRate_gentle_giant_orc_giants,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_high_press_trigger_human_counter,99.1927,1.0000,,99.1667,99.7917,98.9583,98.9583,99.1667,98.7500,99.5833,99.1667
activationRate_high_press_trigger_human_scattered,93.7240,1.0000,,93.7500,93.9583,92.2917,93.1250,95.6250,93.3333,93.9583,93.7500
activationRate_high_press_trigger_orc_mob,97.7865,1.0000,,96.6667,98.3333,97.5000,97.5000,98.7500,98.1250,98.1250,97.2917
activationRate_high_press_trigger_undead_grind,99.1667,1.0000,,99.1667,99.3750,98.9583,99.1667,99.1667,99.3750,98.5417,99.5833
activationRate_home_ref_human_random,6.4062,1.0000,,6.4583,10.0000,4.5833,7.5000,6.6667,4.1667,6.0417,5.8333
activationRate_home_ref_human_scattered,9.2708,1.0000,,11.2500,7.2917,8.9583,7.7083,12.2917,9.1667,11.0417,6.4583
activationRate_home_ref_orc_mob,10.9375,1.0000,,14.1667,8.9583,11.0417,8.7500,10.8333,11.4583,8.1250,14.1667
activationRate_iron_gate_dwarf_fortress,26.7188,1.0000,,26.4583,26.0417,24.3750,24.7917,28.3333,25.6250,29.1667,28.9583
activationRate_iron_lungs_human_scattered,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_last_ditch_dwarf_fortress,47.0833,1.0000,,48.9583,43.9583,45.8333,45.2083,48.3333,46.4583,46.0417,51.8750
activationRate_last_ditch_elf_bulwark,33.6458,1.0000,,33.5417,37.0833,38.3333,35.4167,28.3333,31.8750,28.3333,36.2500
activationRate_last_ditch_human_wall,24.7135,1.0000,,27.0833,28.1250,25.4167,26.2500,19.5833,26.4583,21.6667,23.1250
activationRate_last_ditch_undead_grind,65.7031,1.0000,,67.5000,64.5833,58.3333,63.9583,68.7500,69.5833,69.3750,63.5417
